"id","name","province_id"
725,Huyện Quảng Hòa,19
214,Thành Phố Lào Cai,20
215,Thị Xã Sa Pa,20
216,Huyện Mường Khương,20
217,Huyện Bát Xát,20
218,Huyện Văn Bàn,20
219,Huyện Bắc Hà,20
220,Huyện Si Ma Cai,20
221,Huyện Bảo Yên,20
222,Huyện Bảo Thắng,20
223,Huyện Chợ Mới,21
224,Huyện Chợ Đồn,21
225,Huyện Ngân Sơn,21
226,Thành Phố Bắc Kạn,21
227,Huyện Na Rì,21
228,Huyện Bạch Thông,21
229,Huyện Ba Bể,21
230,Huyện Pắc Nặm,21
231,Huyện Văn Quan,22
232,Huyện Hữu Lũng,22
233,Huyện Chi Lăng,22
234,Huyện Bắc Sơn,22
235,Huyện Văn Lãng,22
236,Huyện Lộc Bình,22
237,Huyện Cao Lộc,22
238,Huyện Đình Lập,22
239,Huyện Bình Gia,22
240,Thành Phố Lạng Sơn,22
241,Huyện Tràng Định,22
242,Thành Phố Tuyên Quang,23
243,Huyện Yên Sơn,23
244,Huyện Sơn Dương,23
245,Huyện Chiêm Hóa,23
246,Huyện Na Hang,23
247,Huyện Lâm Bình,23
248,Huyện Hàm Yên,23
249,Huyện Văn Chấn,24
250,Huyện Văn Yên,24
251,Huyện Yên Bình,24
252,Huyện Trạm Tấu,24
253,Huyện Lục Yên,24
254,Thị Xã Nghĩa Lộ,24
255,Huyện Mù Căng Chải,24
256,Huyện Trấn Yên,24
257,Thành Phố Yên Bái,24
258,Thị Xã Phổ Yên,25
259,Huyện Phú Lương ,25
260,Huyện Võ Nhai,25
261,Thành Phố Thái Nguyên,25
262,Huyện Phú Bình,25
263,Huyện Đồng Hỷ,25
264, Huyện Đại Từ,25
265,Huyện Định Hóa,25
266,Thành Phố Sông Công,25
267,Thi Xã Phú Thọ,26
268,Huyện Thanh Ba,26
269,Thành Phố Việt Trì,26
270,Huyện Đoan Hùng,26
271,Huyện Thanh Thủy,26
272,Huyện Thanh Sơn,26
273,Huyện Tân Sơn,26
274,Huyện Yên Lập,26
275,Huyện Cẩm Khê,26
276,Huyện Tam Nông,26
277,Huyện Lâm Thao,26
278,Huyện Hạ Hòa,26
279,Huyện Phù Ninh,26
280,Thành Phố Bắc Giang,27
281,Huyện Hiệp Hòa,27
282,Huyện Việt Yên,27
283,Huyện Yên Thế,27
284,Huyện Lục Ngạn,27
285,Huyện Lạng Giang,27
286,Huyện Tân Yên,27
287,Huyện Lục Nam,27
288,Huyện Sơn Động,27
289,Huyện Yên Dũng,27
290,Huyện Tiên Yên,28
291,Thành Phố Uông Bí,28
292,Thị Xã Quảng Yên,28
293,Thị Xã Đông Triều,28
294,Huyện Ba Chẽ,28
295,Huyện Bình Liêu,28
296,Huyện Đầm Hà,28
297,Huyện Vân Đồn,28
298,Thành Phố Cẩm Phả,28
299,Huyện Cô Tô,28
300,Thành Phố Móng Cái,28
301,Huyện Hải Hà,28
302,Thành Phố Hạ Long,28
303,Huyện Hoành Bồ,28
304,Huyện Tam Đường,29
305,Huyện Phong Thổ,29
306,Huyện Sìn Hồ,29
307,Huyện Than Uyên,29
308,Huyện Mường Tè,29
309,Huyện Tân Uyên,29
310,Huyện Nậm Nhùn,29
311,Thành Phố Lai Châu,29
